CustomerID,last_purchase,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_segment,cluster_kmeans,cluster_label
12402,2011-01-20 13:49:00,323,1,225.6,1,1,1,3,At risk / Low value,1,At risk / Low value
12403,2011-10-21 11:00:00,50,2,409.7,3,1,2,6,At risk / Low value,3,Occasional
12405,2011-07-14 08:52:00,149,1,1710.39,2,1,4,7,Occasional,3,Occasional
12406,2011-11-17 19:22:00,22,3,3280.75,4,2,5,11,Loyal,0,Occasional
12407,2011-10-21 10:11:00,50,5,1708.1200000000001,3,3,4,10,Loyal,0,Occasional
12408,2011-11-07 12:30:00,33,9,2842.57,3,4,5,12,Loyal,2,VIP / High value
12409,2011-09-22 10:38:00,79,7,11056.93,2,3,5,10,Loyal,2,VIP / High value
12410,2011-02-11 15:47:00,301,3,681.0799999999999,1,2,3,6,At risk / Low value,1,At risk / Low value
12412,2011-09-26 10:16:00,75,3,1226.88,2,2,4,8,Occasional,0,Occasional
12413,2011-10-04 09:00:00,67,5,694.15,3,3,3,9,Occasional,0,Occasional
12414,2011-05-06 14:51:00,217,3,562.41,1,2,3,6,At risk / Low value,1,At risk / Low value
12415,2011-11-15 14:22:00,24,26,123725.45,4,4,5,13,VIP / High value,2,VIP / High value
12417,2011-12-06 14:52:00,3,12,3578.8,5,4,5,14,VIP / High value,2,VIP / High value
12418,2011-08-19 11:08:00,113,1,668.58,2,1,3,6,At risk / Low value,3,Occasional
12420,2011-10-07 08:55:00,64,1,600.39,3,1,3,7,Occasional,3,Occasional
12421,2011-11-24 09:07:00,16,5,806.27,4,3,3,10,Loyal,0,Occasional
12422,2011-09-05 09:48:00,96,3,803.5600000000001,2,2,3,7,Occasional,0,Occasional
12423,2011-12-09 10:10:00,1,9,1849.11,5,4,4,13,VIP / High value,0,Occasional
12424,2011-06-30 12:06:00,163,2,1760.96,2,1,4,7,Occasional,0,Occasional
12425,2011-09-22 17:31:00,78,1,777.2,2,1,3,6,At risk / Low value,3,Occasional
12426,2011-05-29 12:26:00,195,1,582.73,1,1,3,5,At risk / Low value,1,At risk / Low value
12427,2011-11-28 10:48:00,12,5,708.37,4,3,3,10,Loyal,0,Occasional
12428,2011-11-14 08:22:00,26,12,7877.2,4,4,5,13,VIP / High value,2,VIP / High value
12429,2011-11-30 17:22:00,9,4,3750.4,5,2,5,12,Loyal,0,Occasional
12430,2011-10-27 15:09:00,43,1,256.4,3,1,2,6,At risk / Low value,3,Occasional
12431,2011-11-04 11:55:00,36,18,6348.89,3,4,5,12,Loyal,2,VIP / High value
12432,2011-10-28 11:43:00,43,5,5059.32,3,3,5,11,Loyal,0,Occasional
12433,2011-12-09 10:02:00,1,7,13375.87,5,3,5,13,VIP / High value,2,VIP / High value
12434,2011-09-16 12:38:00,85,4,765.19,2,2,3,7,Occasional,0,Occasional
12435,2011-09-21 09:06:00,80,2,7829.89,2,1,5,8,Occasional,0,Occasional
12436,2011-09-01 12:09:00,100,1,509.01,2,1,3,6,At risk / Low value,3,Occasional
12437,2011-12-08 11:35:00,2,19,4896.66,5,4,5,14,VIP / High value,2,VIP / High value
12438,2011-11-25 13:28:00,14,2,2906.85,4,1,5,10,Loyal,0,Occasional
12441,2010-12-08 10:45:00,367,1,173.55,1,1,1,3,At risk / Low value,1,At risk / Low value
12442,2011-12-06 14:22:00,3,1,172.06,5,1,1,7,Occasional,3,Occasional
12444,2011-11-18 13:23:00,21,5,5005.46,4,3,5,12,Loyal,0,Occasional
12445,2011-11-17 18:43:00,22,1,133.4,4,1,1,6,At risk / Low value,3,Occasional
12446,2011-10-13 12:50:00,58,1,1002.3100000000001,3,1,4,8,Occasional,3,Occasional
12447,2011-04-10 13:25:00,243,1,476.49,1,1,2,4,At risk / Low value,1,At risk / Low value
12448,2011-10-26 13:46:00,44,1,449.45,3,1,2,6,At risk / Low value,3,Occasional
12449,2011-11-17 13:46:00,22,4,4067.29,4,2,5,11,Loyal,0,Occasional
12450,2011-07-06 14:41:00,156,2,197.88,2,1,1,4,At risk / Low value,3,Occasional
12451,2011-11-29 08:40:00,11,6,8933.52,5,3,5,13,VIP / High value,2,VIP / High value
12452,2011-11-23 10:28:00,17,3,428.57,4,2,2,8,Occasional,3,Occasional
12453,2011-07-28 14:08:00,134,1,707.09,2,1,3,6,At risk / Low value,3,Occasional
12454,2011-10-17 15:07:00,53,2,5.684341886080802e-14,3,1,1,5,At risk / Low value,3,Occasional
12455,2011-09-27 15:31:00,73,6,2466.86,2,3,5,10,Loyal,0,Occasional
12456,2011-10-26 14:41:00,44,4,3153.89,3,2,5,10,Loyal,0,Occasional
12457,2011-10-12 13:46:00,58,12,1917.78,3,4,4,11,Loyal,2,VIP / High value
12458,2011-09-29 15:25:00,71,2,947.4,2,1,4,7,Occasional,0,Occasional
12461,2011-09-06 16:57:00,94,2,826.88,2,1,3,6,At risk / Low value,3,Occasional
12462,2011-12-07 14:02:00,2,4,1124.01,5,2,4,11,Loyal,0,Occasional
12463,2011-10-24 13:43:00,46,7,1303.63,3,3,4,10,Loyal,0,Occasional
12464,2011-11-29 13:33:00,10,8,1212.05,5,4,4,13,VIP / High value,0,Occasional
12465,2011-12-02 11:34:00,8,3,733.89,5,2,3,10,Loyal,0,Occasional
12468,2011-07-19 13:42:00,143,3,724.0400000000001,2,2,3,7,Occasional,0,Occasional
12471,2011-12-07 15:43:00,2,49,18705.52,5,4,5,14,VIP / High value,2,VIP / High value
12472,2011-11-09 11:33:00,31,13,6229.48,4,4,5,13,VIP / High value,2,VIP / High value
12473,2011-11-10 13:48:00,29,9,2837.73,4,4,5,13,VIP / High value,2,VIP / High value
12474,2011-11-22 14:39:00,17,30,7064.7699999999995,4,4,5,13,VIP / High value,2,VIP / High value
12475,2011-10-17 10:10:00,54,1,723.38,3,1,3,7,Occasional,3,Occasional
12476,2011-12-08 14:08:00,1,20,6546.58,5,4,5,14,VIP / High value,2,VIP / High value
12477,2011-11-17 09:51:00,23,9,13117.01,4,4,5,13,VIP / High value,2,VIP / High value
12478,2011-12-06 09:56:00,4,1,680.99,5,1,3,9,Occasional,3,Occasional
12479,2011-12-06 09:25:00,4,3,477.3,5,2,2,9,Occasional,3,Occasional
12480,2011-11-11 14:52:00,28,4,3281.63,4,2,5,11,Loyal,0,Occasional
12481,2011-11-17 08:29:00,23,11,5574.36,4,4,5,13,VIP / High value,2,VIP / High value
12483,2011-11-22 17:03:00,17,13,2327.13,4,4,5,13,VIP / High value,2,VIP / High value
12484,2011-11-07 11:37:00,33,8,4480.87,3,4,5,12,Loyal,2,VIP / High value
12488,2011-11-30 08:50:00,10,3,1298.66,5,2,4,11,Loyal,0,Occasional
12489,2011-01-07 13:13:00,336,1,334.93,1,1,2,4,At risk / Low value,1,At risk / Low value
12490,2011-12-04 16:07:00,5,10,5417.93,5,4,5,14,VIP / High value,2,VIP / High value
12491,2011-11-01 12:18:00,39,1,460.40000000000003,3,1,2,6,At risk / Low value,3,Occasional
12492,2011-10-07 15:15:00,63,2,263.21000000000004,3,1,2,6,At risk / Low value,3,Occasional
12493,2011-06-27 10:17:00,166,3,416.79,2,2,2,6,At risk / Low value,1,At risk / Low value
12494,2011-11-30 09:21:00,10,13,1139.3500000000001,5,4,4,13,VIP / High value,2,VIP / High value
12497,2011-09-19 12:29:00,82,1,1043.1,2,1,4,7,Occasional,3,Occasional
12498,2011-11-18 12:53:00,21,3,403.70000000000005,4,2,2,8,Occasional,3,Occasional
12500,2011-11-16 16:20:00,23,13,4206.27,4,4,5,13,VIP / High value,2,VIP / High value
12501,2011-01-28 13:54:00,315,2,2089.68,1,1,5,7,Occasional,1,At risk / Low value
12502,2011-09-05 11:52:00,96,5,3723.87,2,3,5,10,Loyal,0,Occasional
12504,2011-11-21 16:02:00,18,4,114.0,4,2,1,7,Occasional,3,Occasional
12506,2011-04-21 08:54:00,233,1,73.5,1,1,1,3,At risk / Low value,1,At risk / Low value
12507,2011-07-28 17:09:00,134,4,1258.06,2,2,4,8,Occasional,0,Occasional
12508,2011-11-13 15:37:00,26,2,397.88,4,1,2,7,Occasional,3,Occasional
12509,2011-02-28 14:45:00,284,1,176.5,1,1,1,3,At risk / Low value,1,At risk / Low value
12510,2011-07-20 10:15:00,143,2,982.5699999999999,2,1,4,7,Occasional,0,Occasional
12512,2011-10-04 14:55:00,66,2,132.18,3,1,1,5,At risk / Low value,3,Occasional
12513,2011-09-16 12:45:00,85,2,586.79,2,1,3,6,At risk / Low value,3,Occasional
12514,2011-03-17 16:38:00,267,1,1017.68,1,1,4,6,At risk / Low value,1,At risk / Low value
12515,2010-12-21 15:43:00,353,1,383.7,1,1,2,4,At risk / Low value,1,At risk / Low value
12516,2011-09-23 09:13:00,78,2,1312.06,2,1,4,7,Occasional,0,Occasional
12517,2011-11-11 14:04:00,28,6,2443.65,4,3,5,12,Loyal,0,Occasional
12518,2011-12-09 10:13:00,1,5,2056.89,5,3,5,13,VIP / High value,0,Occasional
12519,2011-10-07 09:26:00,64,1,330.84,3,1,2,6,At risk / Low value,3,Occasional
12520,2011-09-21 15:23:00,79,6,2582.51,2,3,5,10,Loyal,0,Occasional
12521,2011-07-20 10:51:00,143,1,599.68,2,1,3,6,At risk / Low value,3,Occasional
12522,2011-10-31 15:30:00,39,2,192.72,3,1,1,5,At risk / Low value,3,Occasional
12523,2011-12-08 11:46:00,2,13,1745.57,5,4,4,13,VIP / High value,2,VIP / High value
12524,2011-11-30 15:31:00,9,8,4485.72,5,4,5,14,VIP / High value,2,VIP / High value
12526,2011-12-09 12:09:00,1,3,1316.66,5,2,4,11,Loyal,0,Occasional
12527,2011-09-19 11:55:00,82,3,348.71000000000004,2,2,2,6,At risk / Low value,3,Occasional
12528,2011-11-30 14:40:00,9,8,1922.28,5,4,4,13,VIP / High value,0,Occasional
12530,2011-10-11 12:34:00,60,5,1623.63,3,3,4,10,Loyal,0,Occasional
12531,2011-11-25 11:12:00,15,1,125.22,4,1,1,6,At risk / Low value,3,Occasional
12532,2011-11-09 13:47:00,30,1,349.83000000000004,4,1,2,7,Occasional,3,Occasional
12534,2011-08-01 10:26:00,131,1,1089.18,2,1,4,7,Occasional,3,Occasional
12535,2011-09-09 08:48:00,92,2,716.35,2,1,3,6,At risk / Low value,3,Occasional
12536,2011-12-02 12:43:00,8,5,4106.82,5,3,5,13,VIP / High value,0,Occasional
12538,2011-11-10 17:16:00,29,1,363.95,4,1,2,7,Occasional,3,Occasional
12539,2011-11-17 13:30:00,22,5,3852.5,4,3,5,12,Loyal,0,Occasional
12540,2011-11-20 11:31:00,20,19,13309.039999999999,4,4,5,13,VIP / High value,2,VIP / High value
12541,2011-11-10 10:40:00,30,3,981.18,4,2,4,10,Loyal,0,Occasional
12544,2011-11-10 11:12:00,30,2,355.7,4,1,2,7,Occasional,3,Occasional
12545,2011-09-25 13:39:00,75,2,1000.39,2,1,4,7,Occasional,0,Occasional
12546,2011-10-24 12:09:00,47,3,1141.5,3,2,4,9,Occasional,0,Occasional
12547,2011-05-26 12:38:00,198,2,207.79999999999998,1,1,1,3,At risk / Low value,1,At risk / Low value
12548,2011-06-26 15:35:00,166,1,95.19999999999999,2,1,1,4,At risk / Low value,1,At risk / Low value
12550,2011-09-21 14:35:00,79,1,964.83,2,1,4,7,Occasional,3,Occasional
12551,2010-12-17 11:23:00,358,1,168.0,1,1,1,3,At risk / Low value,1,At risk / Low value
12552,2011-11-01 10:02:00,39,2,437.82,3,1,2,6,At risk / Low value,3,Occasional
12553,2011-12-01 16:38:00,8,14,3652.25,5,4,5,14,VIP / High value,2,VIP / High value
12556,2011-10-20 13:06:00,50,2,599.56,3,1,3,7,Occasional,3,Occasional
12557,2011-11-23 16:59:00,16,5,11990.960000000001,4,3,5,12,Loyal,2,VIP / High value
12558,2011-12-08 10:14:00,2,2,1.0658141036401503e-14,5,1,1,7,Occasional,3,Occasional
12559,2011-02-02 09:49:00,311,3,536.21,1,2,3,6,At risk / Low value,1,At risk / Low value
12560,2011-12-04 13:54:00,5,4,2101.39,5,2,5,12,Loyal,0,Occasional
12561,2011-02-10 11:39:00,303,1,238.85,1,1,1,3,At risk / Low value,1,At risk / Low value
12562,2011-12-01 17:20:00,8,7,3781.7400000000002,5,3,5,13,VIP / High value,2,VIP / High value
12564,2011-03-23 14:55:00,261,1,456.9,1,1,2,4,At risk / Low value,1,At risk / Low value
12565,2011-03-03 11:43:00,282,2,131.17,1,1,1,3,At risk / Low value,1,At risk / Low value
12566,2011-09-28 09:57:00,73,2,346.7,2,1,2,5,At risk / Low value,3,Occasional
12567,2011-11-17 11:02:00,23,11,9114.94,4,4,5,13,VIP / High value,2,VIP / High value
12569,2011-12-07 16:24:00,2,35,4064.9900000000002,5,4,5,14,VIP / High value,2,VIP / High value
12571,2011-10-31 10:19:00,40,2,519.61,3,1,3,7,Occasional,3,Occasional
12572,2011-12-01 09:20:00,9,3,1004.72,5,2,4,11,Loyal,0,Occasional
12573,2011-04-26 15:52:00,227,1,160.54000000000002,1,1,1,3,At risk / Low value,1,At risk / Low value
12574,2011-01-28 09:20:00,316,1,218.45,1,1,1,3,At risk / Low value,1,At risk / Low value
12576,2011-11-04 10:11:00,36,6,1306.98,3,3,4,10,Loyal,0,Occasional
12577,2011-11-04 13:28:00,35,4,564.2,3,2,3,8,Occasional,0,Occasional
12578,2011-11-18 13:30:00,21,4,2753.36,4,2,5,11,Loyal,0,Occasional
12579,2011-09-27 13:57:00,73,3,410.72,2,2,2,6,At risk / Low value,3,Occasional
12580,2011-04-07 10:24:00,247,1,415.7,1,1,2,4,At risk / Low value,1,At risk / Low value
12581,2011-10-31 08:56:00,40,1,197.71,3,1,1,5,At risk / Low value,3,Occasional
12582,2011-04-15 08:45:00,239,2,511.36,1,1,3,5,At risk / Low value,1,At risk / Low value
12583,2011-12-07 08:07:00,3,18,7187.34,5,4,5,14,VIP / High value,2,VIP / High value
12584,2011-12-06 09:35:00,4,18,1893.95,5,4,4,13,VIP / High value,2,VIP / High value
12585,2011-04-19 13:39:00,234,4,1982.81,1,2,4,7,Occasional,1,At risk / Low value
12586,2011-11-22 16:24:00,17,2,179.94000000000003,4,1,1,6,At risk / Low value,3,Occasional
12587,2011-12-02 12:47:00,8,1,144.0,5,1,1,7,Occasional,3,Occasional
12588,2011-10-31 15:01:00,39,1,214.89999999999998,3,1,1,5,At risk / Low value,3,Occasional
12589,2011-11-11 10:19:00,29,2,646.68,4,1,3,8,Occasional,3,Occasional
12590,2011-06-02 14:25:00,190,3,9861.38,1,2,5,8,Occasional,0,Occasional
12591,2011-01-26 14:35:00,317,1,452.84999999999997,1,1,2,4,At risk / Low value,1,At risk / Low value
12592,2011-09-08 15:04:00,92,2,437.6,2,1,2,5,At risk / Low value,3,Occasional
12593,2011-08-23 12:43:00,109,3,418.09999999999997,2,2,2,6,At risk / Low value,3,Occasional
12594,2011-11-02 12:20:00,38,11,3320.2200000000003,3,4,5,12,Loyal,2,VIP / High value
12596,2011-10-19 13:02:00,51,2,618.27,3,1,3,7,Occasional,3,Occasional
12597,2011-11-20 13:33:00,19,5,3683.13,4,3,5,12,Loyal,0,Occasional
12598,2011-11-30 12:18:00,10,9,3002.68,5,4,5,14,VIP / High value,2,VIP / High value
12599,2011-11-10 13:34:00,29,7,1032.58,4,3,4,11,Loyal,0,Occasional
12600,2011-11-11 10:29:00,29,11,2581.04,4,4,5,13,VIP / High value,2,VIP / High value
12601,2011-06-03 10:17:00,190,6,569.5600000000001,1,3,3,7,Occasional,0,Occasional
12602,2011-10-12 11:22:00,59,1,153.12,3,1,1,5,At risk / Low value,3,Occasional
12603,2011-11-18 10:42:00,22,1,739.1999999999999,4,1,3,8,Occasional,3,Occasional
12604,2011-09-21 14:08:00,79,2,254.18,2,1,2,5,At risk / Low value,3,Occasional
12607,2011-10-12 16:17:00,58,2,3.552713678800501e-15,3,1,1,5,At risk / Low value,3,Occasional
12609,2011-09-22 16:34:00,78,3,1126.85,2,2,4,8,Occasional,0,Occasional
12610,2011-11-17 09:34:00,23,7,2057.99,4,3,5,12,Loyal,0,Occasional
12611,2011-10-18 13:12:00,52,1,1193.32,3,1,4,8,Occasional,3,Occasional
12612,2011-10-13 12:12:00,58,2,643.59,3,1,3,7,Occasional,3,Occasional
12613,2011-11-08 13:30:00,31,6,3218.98,4,3,5,12,Loyal,0,Occasional
12614,2011-03-07 10:22:00,278,1,315.6,1,1,2,4,At risk / Low value,1,At risk / Low value
12615,2011-12-07 15:02:00,2,4,2291.19,5,2,5,12,Loyal,0,Occasional
12616,2011-09-15 17:02:00,85,5,657.25,2,3,3,8,Occasional,0,Occasional
12617,2011-11-10 14:39:00,29,1,352.98,4,1,2,7,Occasional,3,Occasional
12618,2011-11-18 11:10:00,22,1,177.31,4,1,1,6,At risk / Low value,3,Occasional
12619,2011-11-23 14:52:00,16,13,3214.81,4,4,5,13,VIP / High value,2,VIP / High value
12620,2011-11-25 10:20:00,15,3,1339.41,4,2,4,10,Loyal,0,Occasional
12621,2011-12-08 11:25:00,2,23,13612.07,5,4,5,14,VIP / High value,2,VIP / High value
12622,2011-04-21 16:39:00,232,1,180.1,1,1,1,3,At risk / Low value,1,At risk / Low value
12623,2011-03-08 13:50:00,276,1,305.1,1,1,2,4,At risk / Low value,1,At risk / Low value
12624,2011-08-25 15:04:00,106,2,641.13,2,1,3,6,At risk / Low value,3,Occasional
12625,2011-05-12 09:54:00,212,3,2614.32,1,2,5,8,Occasional,0,Occasional
12626,2011-11-16 16:06:00,23,13,6388.35,4,4,5,13,VIP / High value,2,VIP / High value
12627,2011-11-29 12:07:00,11,7,4478.53,5,3,5,13,VIP / High value,2,VIP / High value
12628,2011-12-05 13:15:00,4,4,769.61,5,2,3,10,Loyal,0,Occasional
12630,2011-11-30 10:48:00,10,2,1270.88,5,1,4,10,Loyal,0,Occasional
12631,2011-10-13 13:53:00,57,1,640.5,3,1,3,7,Occasional,3,Occasional
12633,2011-10-12 11:40:00,59,5,2140.63,3,3,5,11,Loyal,0,Occasional
12635,2011-09-11 11:04:00,90,2,1689.18,2,1,4,7,Occasional,0,Occasional
12637,2011-10-03 13:46:00,67,10,5934.25,3,4,5,12,Loyal,2,VIP / High value
12638,2011-11-06 13:11:00,33,1,671.69,3,1,3,7,Occasional,3,Occasional
12639,2011-04-15 12:48:00,239,1,486.1,1,1,3,5,At risk / Low value,1,At risk / Low value
12640,2011-11-16 11:52:00,24,3,1174.58,4,2,4,10,Loyal,0,Occasional
12641,2011-08-16 13:26:00,115,1,185.9,2,1,1,4,At risk / Low value,3,Occasional
12642,2011-11-14 15:03:00,25,3,1013.26,4,2,4,10,Loyal,0,Occasional
12643,2011-08-03 12:56:00,128,6,3344.64,2,3,5,10,Loyal,0,Occasional
12644,2011-08-02 10:33:00,130,1,477.91,2,1,2,5,At risk / Low value,3,Occasional
12645,2011-11-06 12:38:00,34,5,1755.38,3,3,4,10,Loyal,0,Occasional
12646,2011-12-05 10:14:00,5,2,1346.97,5,1,4,10,Loyal,0,Occasional
12647,2011-11-17 12:56:00,22,13,3669.92,4,4,5,13,VIP / High value,2,VIP / High value
12648,2011-07-08 11:55:00,155,1,318.05,2,1,2,5,At risk / Low value,3,Occasional
12649,2011-08-24 14:41:00,107,4,603.71,2,2,3,7,Occasional,0,Occasional
12650,2011-12-06 16:34:00,3,1,314.44,5,1,2,8,Occasional,3,Occasional
12651,2011-01-09 12:46:00,335,1,114.0,1,1,1,3,At risk / Low value,1,At risk / Low value
12652,2011-01-21 17:01:00,322,2,914.53,1,1,3,5,At risk / Low value,1,At risk / Low value
12653,2011-07-14 10:41:00,149,2,2209.85,2,1,5,8,Occasional,0,Occasional
12654,2011-11-29 10:10:00,11,5,601.98,5,3,3,11,Loyal,0,Occasional
12656,2011-11-22 13:42:00,17,8,3982.72,4,4,5,13,VIP / High value,2,VIP / High value
12657,2011-11-28 15:47:00,11,5,1152.06,5,3,4,12,Loyal,0,Occasional
12658,2011-11-21 10:22:00,19,1,686.05,4,1,3,8,Occasional,3,Occasional
12659,2011-11-10 11:53:00,30,1,91.68,4,1,1,6,At risk / Low value,3,Occasional
12660,2011-11-28 13:26:00,11,1,245.1,5,1,2,8,Occasional,3,Occasional
12662,2011-12-09 11:59:00,1,12,3817.08,5,4,5,14,VIP / High value,2,VIP / High value
12664,2011-12-01 17:07:00,8,10,4863.88,5,4,5,14,VIP / High value,2,VIP / High value
12665,2011-01-19 08:34:00,325,2,61.75,1,1,1,3,At risk / Low value,1,At risk / Low value
12667,2011-10-12 17:00:00,58,1,620.13,3,1,3,7,Occasional,3,Occasional
12668,2011-12-02 15:10:00,7,6,3743.18,5,3,5,13,VIP / High value,0,Occasional
12669,2011-07-12 09:54:00,151,4,1607.73,2,2,4,8,Occasional,0,Occasional
12670,2011-11-29 15:23:00,10,6,2986.15,5,3,5,13,VIP / High value,0,Occasional
12672,2011-01-14 09:20:00,330,1,225.89999999999998,1,1,1,3,At risk / Low value,1,At risk / Low value
12673,2011-12-04 13:55:00,5,2,610.52,5,1,3,9,Occasional,3,Occasional
12674,2011-11-28 12:22:00,12,7,1922.26,4,3,4,11,Loyal,0,Occasional
12676,2011-11-15 12:25:00,25,6,1331.39,4,3,4,11,Loyal,0,Occasional
12678,2011-10-28 13:04:00,42,13,17588.26,3,4,5,12,Loyal,2,VIP / High value
12679,2011-10-18 13:43:00,52,9,1058.67,3,4,4,11,Loyal,0,Occasional
12680,2011-12-09 12:50:00,1,4,862.81,5,2,3,10,Loyal,0,Occasional
12681,2011-11-25 11:35:00,15,27,13677.59,4,4,5,13,VIP / High value,2,VIP / High value
12682,2011-12-06 10:00:00,4,31,12279.82,5,4,5,14,VIP / High value,2,VIP / High value
12683,2011-12-05 16:31:00,4,20,8221.09,5,4,5,14,VIP / High value,2,VIP / High value
12684,2011-12-02 09:53:00,8,7,2283.63,5,3,5,13,VIP / High value,0,Occasional
12685,2011-11-11 13:46:00,28,6,2863.08,4,3,5,12,Loyal,0,Occasional
12686,2010-12-03 09:51:00,372,1,89.14,1,1,1,3,At risk / Low value,1,At risk / Low value
12688,2011-08-18 08:49:00,114,1,4873.8099999999995,2,1,5,8,Occasional,0,Occasional
12689,2011-11-14 08:31:00,26,2,1247.61,4,1,4,9,Occasional,0,Occasional
12690,2011-05-18 09:09:00,206,1,389.01,1,1,2,4,At risk / Low value,1,At risk / Low value
12691,2011-11-11 16:49:00,28,6,1035.8,4,3,4,11,Loyal,0,Occasional
12693,2011-08-11 09:16:00,121,6,830.96,2,3,3,8,Occasional,0,Occasional
12694,2011-09-30 13:06:00,70,2,869.67,3,1,3,7,Occasional,0,Occasional
12695,2011-12-02 13:22:00,7,4,582.1,5,2,3,10,Loyal,0,Occasional
12697,2011-11-18 16:17:00,21,5,939.02,4,3,4,11,Loyal,0,Occasional
12700,2011-12-02 10:49:00,8,6,4867.99,5,3,5,13,VIP / High value,2,VIP / High value
12701,2011-09-21 10:47:00,80,2,797.71,2,1,3,6,At risk / Low value,3,Occasional
12702,2011-11-20 10:36:00,20,1,219.0,4,1,1,6,At risk / Low value,3,Occasional
12703,2011-10-06 19:23:00,64,2,274.7,3,1,2,6,At risk / Low value,3,Occasional
12704,2011-12-02 13:15:00,7,10,2220.84,5,4,5,14,VIP / High value,2,VIP / High value
12705,2011-11-24 13:17:00,15,14,6814.24,4,4,5,13,VIP / High value,2,VIP / High value
12707,2011-02-21 08:38:00,292,1,603.42,1,1,3,5,At risk / Low value,1,At risk / Low value
12708,2011-11-10 09:52:00,30,16,2616.32,4,4,5,13,VIP / High value,2,VIP / High value
